ENST00000463407.5	NUP58
ENST00000465995.6	DNAJC24
ENST00000467148.1	HELZ2
ENST00000468148.6	RAB23
ENST00000469435.1	KLF6
ENST00000470357.1	VAMP3
ENST00000471115.6	C1orf52
ENST00000471867.3	ESD
ENST00000473414.6	COMMD2
ENST00000474629.7	PARP14
ENST00000484980.5	UNC119
ENST00000489637.3	MVB12B
ENST00000491306.6	RPL37A
ENST00000493763.6	RPL7L1
ENST00000495461.6	SELENOK
ENST00000496166.6	PIK3CG
ENST00000503004.5	CLDND1
ENST00000505522.6	SNHG4
ENST00000505747.6	THUMPD2
ENST00000507579.1	AC079921.2
ENST00000507644.2	RP11-11N5.1
ENST00000508296.5	AC139491.7
ENST00000512733.5	PAQR3
ENST00000514265.1	RP11-184M15.1
ENST00000515425.6	SH3TC2
ENST00000519476.6	LETM2
ENST00000523505.2	CCDC71L
ENST00000523917.5	CNOT7
ENST00000524717.6	MAML2
ENST00000526049.6	SELENOS
ENST00000527958.6	PAFAH1B2
ENST00000530049.1	CTD
ENST00000535540.1	KLRF2
ENST00000536681.8	FAR2
ENST00000538183.7	SOD2
ENST00000539281.5	GSTO1
ENST00000549278.2	LINC02458
ENST00000550263.2	MYG1-AS1
ENST00000551589.5	MYL6
ENST00000558607.1	MAPK6
ENST00000561559.1	AC008074.2
ENST00000563103.1	AC051619.8
ENST00000567032.5	 CYP1A1
ENST00000570080.1	THRB-202
ENST00000572856.1	DLGAP1-AS2
ENST00000573584.6	NUP88
ENST00000577988.2	SNORD3B-1
ENST00000578049.4	SEC22B
ENST00000579458.1	PCAT18
ENST00000581589.5	KCTD2
ENST00000589913.6	RPL27
ENST00000590474.7	MAP2K6
ENST00000595962.6	ZNF480
ENST00000602172.1	CARD8-AS1
ENST00000604982.2	AC112220.2
ENST00000606577.1	SNORD96A
ENST00000606796.1	AL096865.1
ENST00000606831.1	STXBP5-AS1
ENST00000607520.1	AC105339.2
ENST00000607746.1	CCDS86845.1
ENST00000613854.1	HIST1H3A
ENST00000614247.1	HIST1H4D
ENST00000615230.4	TNFRSF9
ENST00000615868.1	HIST1H2AB
ENST00000615966.1	H2BC3
ENST00000617352.1	MCL1
ENST00000617633.5	DDX52
ENST00000617802.1	AC007383.3
ENST00000618958.1	H2AC15
ENST00000620438.1	H2BU1
ENST00000621400.4	CLECL1
ENST00000623667.2	AC007405.1
ENST00000624070.1	BRAF
ENST00000624112.1	AC008957.3
ENST00000624916.1	AC022497.1
ENST00000629357.1	TRG-AS1
ENST00000629969.1	YAM1 
ENST00000631211.1	FP671120.6
ENST00000637996.1	ENST00000637996.1
ENST00000646974.2	TPM4
ENST00000647814.1	ABCC2
ENST00000648566.1	BCL10
ENST00000651128.1	ENC1
ENST00000652019.1	ENST00000652019.1
ENST00000652215.1	NFE4
ENST00000654616.1	DIRC3
ENST00000656121.1	LINC02518
ENST00000660086.1	ENST00000660086.1
ENST00000660814.1	AC084082.1
ENST00000661242.1	AC007405.1 
ENST00000661295.1	AC091182.1
ENST00000662378.1	LINC01622
ENST00000668770.1	ENST00000668770.1
ENST00000673291.1	AK2
